Label,Path
17.049,Data/SNR=18.262149929980538_m1=21_m2=14_69.png
16.736,noise/Signal_1393.png
10.514,Data/SNR=7.987093336360977_m1=12_m2=23_976.png
0.0,Data/SNR=19.087131606567837_m1=13_m2=10_372.png
0.0,Data/SNR=14.78938907353599_m1=17_m2=10_854.png
11.174,Data/SNR=9.766663905302302_m1=27_m2=16_112.png
0.0,Data/SNR=10.376518053388395_m1=14_m2=23_1399.png
10.76,Data/SNR=9.174582613862615_m1=18_m2=18_1052.png
9.431,Data/SNR=13.044567037995664_m1=15_m2=16_981.png
12.19,Data/SNR=9.037731948869453_m1=15_m2=18_987.png
12.636,Data/SNR=12.964389890656525_m1=19_m2=16_1018.png
9.005,Data/SNR=27.558685455446057_m1=15_m2=24_750.png
17.313,noise/Signal_569.png
0.0,Data/SNR=9.635610215421808_m1=23_m2=14_253.png
9.96,Data/SNR=9.472946522154317_m1=11_m2=14_886.png
10.044,Data/SNR=10.46533924679468_m1=15_m2=23_43.png
9.079,Data/SNR=27.50773447174146_m1=15_m2=24_27.png
16.815,noise/Signal_108.png
0.0,Data/SNR=13.441711029708127_m1=30_m2=19_391.png
0.0,noise/Signal_1701.png
17.014,noise/Signal_643.png
19.803,Data/SNR=35.584378485675956_m1=29_m2=22_43.png
9.342,Data/SNR=7.36465774729675_m1=14_m2=23_630.png
12.592,noise/Signal_385.png
0.0,noise/Signal_321.png
10.313,Data/SNR=8.55203289663033_m1=19_m2=19_335.png
12.239,Data/SNR=7.827349690391996_m1=15_m2=22_363.png
13.414,noise/Signal_100.png
14.927,Data/SNR=9.073791200900411_m1=30_m2=15_1041.png
9.446,Data/SNR=13.232915531379321_m1=15_m2=11_1180.png
29.498,Data/SNR=12.883938516051272_m1=14_m2=26_273.png
13.404,noise/Signal_840.png
0.0,Data/SNR=13.516333173264536_m1=10_m2=16_976.png
9.998,noise/Signal_1728.png
17.486,Data/SNR=8.322908019535467_m1=25_m2=10_155.png
19.915,noise/Signal_961.png
8.776,Data/SNR=16.60357307905273_m1=16_m2=24_121.png
9.114,Data/SNR=11.558251602555359_m1=18_m2=29_1008.png
16.404,Data/SNR=6.503517020090156_m1=13_m2=10_337.png
18.567,Data/SNR=19.345170704856606_m1=13_m2=10_179.png
16.291,Data/SNR=11.733434443698746_m1=15_m2=20_839.png
0.0,Data/SNR=10.509040515969282_m1=17_m2=25_1046.png
10.145,noise/Signal_1929.png
11.246,Data/SNR=9.126500052528629_m1=13_m2=25_922.png
0.0,noise/Signal_755.png
12.468,Data/SNR=18.719940894008975_m1=12_m2=10_280.png
12.749,Data/SNR=18.260855871365404_m1=12_m2=10_109.png
18.106,Data/SNR=8.843816445760893_m1=12_m2=22_1435.png
22.725,Data/SNR=8.485285458601595_m1=12_m2=14_233.png
0.0,Data/SNR=17.75643523868764_m1=14_m2=23_156.png
7.97,Data/SNR=17.70021205004055_m1=12_m2=30_936.png
10.656,Data/SNR=18.01552053015293_m1=26_m2=28_1148.png
9.373,Data/SNR=24.828849917901163_m1=26_m2=29_61.png
0.0,noise/Signal_1799.png
0.0,Data/SNR=12.208661638349186_m1=30_m2=22_130.png
16.312,Data/SNR=10.465640803348668_m1=22_m2=27_297.png
17.284,noise/SIgnal_68.png
8.21,Data/SNR=16.709404280111755_m1=12_m2=20_323.png
